date,year,month,ngd,t,log_ngd,month_sin,month_cos,is_winter,lag1_log,lag12_log,lag1,lag12,roll3_log,roll12_log,roll3,roll12
2022-04-01,2022,4,2329,76,7.753194269884341,0.8660254037844387,-0.49999999999999983,0,8.076204527239026,7.560080465021827,3217.0,1920.0,8.112713698194428,6.857259994089509,3339.0,1487.6666666666667
2022-05-01,2022,5,902,77,6.804614520062624,0.49999999999999994,-0.8660254037844387,0,7.753194269884341,6.587550014824796,2329.0,726.0,7.997969688623471,6.873352811161386,3020.0,1521.75
2022-06-01,2022,6,400,78,5.991464547107982,1.2246467991473532e-16,-1.0,0,6.804614520062624,5.8664680569332965,902.0,353.0,7.544671105728664,6.891441519931206,2149.3333333333335,1536.4166666666667
2022-07-01,2022,7,251,79,5.5254529391317835,-0.4999999999999998,-0.8660254037844388,0,5.991464547107982,5.438079308923196,400.0,230.0,6.849757779018316,6.901857894112429,1210.3333333333333,1540.3333333333333
2022-08-01,2022,8,319,80,5.765191102784844,-0.8660254037844384,-0.5000000000000004,0,5.5254529391317835,5.71042701737487,251.0,302.0,6.10717733543413,6.909139029963145,517.6666666666666,1542.0833333333333
2022-09-01,2022,9,312,81,5.7430031878094825,-1.0,-1.8369701987210297e-16,0,5.765191102784844,5.720311776607412,319.0,305.0,5.760702863008203,6.913702703747309,323.3333333333333,1543.5
2022-10-01,2022,10,424,82,6.049733455231958,-0.8660254037844386,0.5000000000000001,0,5.7430031878094825,6.22455842927536,312.0,505.0,5.677882409908704,6.915593654680815,294.0,1544.0833333333333
2022-11-01,2022,11,1032,83,6.939253946041508,-0.5000000000000004,0.8660254037844384,1,6.049733455231958,7.118826249062078,424.0,1235.0,5.852642581942095,6.9010249068438645,351.6666666666667,1537.3333333333333
2022-12-01,2022,12,2070,84,7.635303886259415,-2.4492935982947064e-16,1.0,1,6.939253946041508,7.7226775164680035,1032.0,2259.0,6.2439968630276494,6.8860605482588175,589.3333333333334,1520.4166666666667
2023-01-01,2023,1,2781,85,7.930565854233965,0.49999999999999994,0.8660254037844387,1,7.635303886259415,8.097426298597213,2070.0,3286.0,6.87476376251096,6.878779412408101,1175.3333333333333,1504.6666666666667
2023-02-01,2023,2,2948,86,7.988882253309227,0.8660254037844386,0.5000000000000001,1,7.930565854233965,8.164510268747042,2781.0,3514.0,7.501707895511629,6.8648743753778305,1961.0,1462.5833333333333
2023-03-01,2023,3,2746,87,7.917900586327916,1.0,6.123233995736766e-17,1,7.988882253309227,8.076204527239026,2948.0,3217.0,7.851583997934203,6.850238707424679,2599.6666666666665,1415.4166666666667
2023-04-01,2023,4,1580,88,7.365180126021013,0.8660254037844387,-0.49999999999999983,0,7.917900586327916,7.753194269884341,2746.0,2329.0,7.945782897957035,6.837046712348754,2825.0,1376.1666666666667
2023-05-01,2023,5,1834,89,7.51425465281641,0.49999999999999994,-0.8660254037844387,0,7.365180126021013,6.804614520062624,1580.0,902.0,7.757320988552718,6.804712200360143,2424.6666666666665,1313.75
2023-06-01,2023,6,688,90,6.5337888379333435,1.2246467991473532e-16,-1.0,0,7.51425465281641,5.991464547107982,1834.0,400.0,7.599111788388446,6.863848878089624,2053.3333333333335,1391.4166666666667
2023-07-01,2023,7,363,91,5.8944028342648505,-0.4999999999999998,-0.8660254037844388,0,6.5337888379333435,5.5254529391317835,688.0,251.0,7.137741205590255,6.909042568991739,1367.3333333333333,1415.4166666666667
2023-08-01,2023,8,278,92,5.627621113690637,-0.8660254037844384,-0.5000000000000004,0,5.8944028342648505,5.765191102784844,363.0,319.0,6.647482108338202,6.93978839358616,961.6666666666666,1424.75
2023-09-01,2023,9,286,93,5.655991810819852,-1.0,-1.8369701987210297e-16,0,5.627621113690637,5.7430031878094825,278.0,312.0,6.0186042619629445,6.92832422782831,443.0,1421.3333333333333
2023-10-01,2023,10,409,94,6.013715156042802,-0.8660254037844386,0.5000000000000001,0,5.655991810819852,6.049733455231958,286.0,424.0,5.726005252925113,6.921073279745841,309.0,1419.1666666666667
2023-11-01,2023,11,756,95,6.628041376179533,-0.5000000000000004,0.8660254037844384,1,6.013715156042802,6.939253946041508,409.0,1032.0,5.765776026851097,6.918071754813412,324.3333333333333,1417.9166666666667
2023-12-01,2023,12,2274,96,7.729295674310482,-2.4492935982947064e-16,1.0,1,6.628041376179533,7.635303886259415,756.0,2070.0,6.099249447680729,6.89213737399158,483.6666666666667,1394.9166666666667
2024-01-01,2024,1,3266,97,8.09132127353041,0.49999999999999994,0.8660254037844387,1,7.729295674310482,7.930565854233965,2274.0,2781.0,6.7903507355109385,6.899970022995837,1146.3333333333333,1411.9166666666667
2024-02-01,2024,2,3602,98,8.189244525735901,0.8660254037844386,0.5000000000000001,1,8.09132127353041,7.988882253309227,3266.0,2948.0,7.4828861080068085,6.913366307937207,2098.6666666666665,1452.3333333333333
2024-03-01,2024,3,2946,99,7.988203597022576,1.0,6.123233995736766e-17,1,8.189244525735901,7.917900586327916,3602.0,2746.0,8.003287157858932,6.930063163972764,3047.3333333333335,1506.8333333333333
2024-04-01,2024,4,1960,100,7.580699752224563,0.8660254037844387,-0.49999999999999983,0,7.988203597022576,7.365180126021013,2946.0,1580.0,8.089589798762963,6.935921748197319,3271.3333333333335,1523.5
2024-05-01,2024,5,852,101,6.747586526829315,0.49999999999999994,-0.8660254037844387,0,7.580699752224563,7.51425465281641,1960.0,1834.0,7.919382624994346,6.953881717047614,2836.0,1555.1666666666667
2024-06-01,2024,6,478,102,6.169610732491456,1.2246467991473532e-16,-1.0,0,6.747586526829315,6.5337888379333435,852.0,688.0,7.438829958692151,6.889992706548689,1919.3333333333333,1473.3333333333333
2024-07-01,2024,7,339,103,5.82600010738045,-0.4999999999999998,-0.8660254037844388,0,6.169610732491456,5.8944028342648505,478.0,363.0,6.832632337181778,6.859644531095199,1096.6666666666667,1455.8333333333333
2024-08-01,2024,8,290,104,5.66988092298052,-0.8660254037844384,-0.5000000000000004,0,5.82600010738045,5.627621113690637,339.0,278.0,6.247732455567074,6.853944303854831,556.3333333333334,1453.8333333333333
2024-09-01,2024,9,303,105,5.713732805509369,-1.0,-1.8369701987210297e-16,0,5.66988092298052,5.655991810819852,290.0,286.0,5.888497254284142,6.857465954628989,369.0,1454.8333333333333
2024-10-01,2024,10,435,106,6.075346031088684,-0.8660254037844386,0.5000000000000001,0,5.713732805509369,6.013715156042802,303.0,409.0,5.736537945290112,6.862277704186448,310.6666666666667,1456.25
2024-11-01,2024,11,1569,107,7.358193752733032,-0.5000000000000004,0.8660254037844384,1,6.075346031088684,6.628041376179533,435.0,756.0,5.8196532531928575,6.867413610440271,342.6666666666667,1458.4166666666667
2024-12-01,2024,12,3071,108,8.029758520440822,-2.4492935982947064e-16,1.0,1,7.358193752733032,7.729295674310482,1569.0,2274.0,6.3824241964436945,6.9282596418197295,769.0,1526.1666666666667
2025-01-01,2025,1,3719,109,8.22121009392507,0.49999999999999994,0.8660254037844387,1,8.029758520440822,8.09132127353041,3071.0,3266.0,7.154432768087513,6.953298212330591,1691.6666666666667,1592.5833333333333
2025-02-01,2025,2,3793,110,8.2409125416889,0.8660254037844386,0.5000000000000001,1,8.22121009392507,8.189244525735901,3719.0,3602.0,7.869720789032975,6.964122280696814,2786.3333333333335,1630.3333333333333
2025-03-01,2025,3,3829,111,8.250358951477294,1.0,6.123233995736766e-17,1,8.2409125416889,7.988203597022576,3793.0,2946.0,8.163960385351599,6.968427948692898,3527.6666666666665,1646.25
2025-04-01,2025,4,2376,112,7.773173680482536,0.8660254037844387,-0.49999999999999983,0,8.250358951477294,7.580699752224563,3829.0,1960.0,8.237493862363754,6.990274228230791,3780.3333333333335,1719.8333333333333
2025-05-01,2025,5,1494,113,7.309212365692763,0.49999999999999994,-0.8660254037844387,0,7.773173680482536,6.747586526829315,2376.0,852.0,8.088148391216244,7.006313722252287,3332.6666666666665,1754.5
2025-06-01,2025,6,516,114,6.246106765481563,1.2246467991473532e-16,-1.0,0,7.309212365692763,6.169610732491456,1494.0,478.0,7.777581665884198,7.053115875490907,2566.3333333333335,1808.0
2025-07-01,2025,7,333,115,5.808142489980444,-0.4999999999999998,-0.8660254037844388,0,6.246106765481563,5.82600010738045,516.0,339.0,7.109497603885621,7.05949054490675,1462.0,1811.1666666666667
2025-08-01,2025,8,288,116,5.662960480135946,-0.8660254037844384,-0.5000000000000004,0,5.808142489980444,5.66988092298052,333.0,290.0,6.4544872070515895,7.058002410123417,781.0,1810.6666666666667
2025-09-01,2025,9,308,117,5.730099782973574,-1.0,-1.8369701987210297e-16,0,5.662960480135946,5.713732805509369,288.0,303.0,5.905736578532651,7.057425706553036,379.0,1810.5
2025-10-01,2025,10,535,118,6.282266746896006,-0.8660254037844386,0.5000000000000001,0,5.730099782973574,6.075346031088684,308.0,435.0,5.733734251029989,7.058789621341719,309.6666666666667,1810.9166666666667
2025-11-01,2025,11,1237,119,7.1204443723924875,-0.5000000000000004,0.8660254037844384,1,6.282266746896006,7.358193752733032,535.0,1569.0,5.8917756700018415,7.076033014325663,377.0,1819.25
2025-12-01,2025,12,2419,120,7.791109510610028,-2.4492935982947064e-16,1.0,1,7.1204443723924875,8.029758520440822,1237.0,3071.0,6.377603634087355,7.056220565963951,693.3333333333334,1791.5833333333333
